date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:50	772246/772246	---M--	200	added ('OK')	image/jpeg	etag:54d30260fda9eebf5180c467e816cb01	http://static.showit.co/1600/vWBWtYXtTr-ScnEoaFtGxQ/65601/a_and_nwed0935.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/vWBWtYXtTr-ScnEoaFtGxQ/65601/a_and_nwed0935.jpg	(from https://amandaseasholtz.com/weddings)
13:35:11	835330/835330	---M--	200	added ('OK')	image/jpeg	etag:d8a0619b024b46d986645887763dd497	http://static.showit.co/1600/RUjWaalkSLK5txaghUUNiQ/65601/a_and_nwed1157.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/RUjWaalkSLK5txaghUUNiQ/65601/a_and_nwed1157.jpg	(from https://amandaseasholtz.com/weddings)
13:35:24	982563/982563	---M--	200	added ('OK')	image/jpeg	etag:6a1a6761f1105627695daecefc824abb	http://static.showit.co/1600/rXdoh-NjQ2KPw6oNa0Y0yw/65601/a_and_nwed0943.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/rXdoh-NjQ2KPw6oNa0Y0yw/65601/a_and_nwed0943.jpg	(from https://amandaseasholtz.com/weddings)
13:35:56	881465/881465	---M--	200	added ('OK')	image/jpeg	etag:204f3df0df92c7e70f628e509f1f9d09	http://static.showit.co/1600/Rh9bk0_dTOm-oWae-9RrWA/65601/a_and_nwed1164.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/Rh9bk0_dTOm-oWae-9RrWA/65601/a_and_nwed1164.jpg	(from https://amandaseasholtz.com/weddings)
13:36:10	282875/282875	---M--	200	added ('OK')	image/jpeg	etag:ff1845fb51ccb449985b5627e8692a9e	http://static.showit.co/1600/6s5FfGmiT2iLyvjMS2_PbA/65601/a_and_nwed1361.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/6s5FfGmiT2iLyvjMS2_PbA/65601/a_and_nwed1361.jpg	(from https://amandaseasholtz.com/weddings)
13:37:06	841790/841790	---M--	200	added ('OK')	image/jpeg	etag:03d0cee27999f93101d8cb2d46055ae7	http://static.showit.co/1600/bhQWp5plQOq0qTVEfzjXNA/65601/a_and_nwed1188.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/bhQWp5plQOq0qTVEfzjXNA/65601/a_and_nwed1188.jpg	(from https://amandaseasholtz.com/weddings)
13:37:28	847192/847192	---M--	200	added ('OK')	image/jpeg	etag:da708d388830b8eea73caf6ef7e38d6c	http://static.showit.co/1600/ErLIFwxTQLy3rSU7_9cSmQ/65601/a_and_nwed1203.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/ErLIFwxTQLy3rSU7_9cSmQ/65601/a_and_nwed1203.jpg	(from https://amandaseasholtz.com/weddings)
13:37:47	252307/252307	---M--	200	added ('OK')	image/jpeg	etag:35dcbb79d5d70cbf923ae072f64c34c1	http://static.showit.co/1600/_TRjLtWmQk-e_tuuUFmSkg/65601/a_and_nwed1245.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/_TRjLtWmQk-e_tuuUFmSkg/65601/a_and_nwed1245.jpg	(from https://amandaseasholtz.com/weddings)
13:38:06	803099/803099	---M--	200	added ('OK')	image/jpeg	etag:c5b1568384beacca1c4619fa35f3ae53	http://static.showit.co/1600/D_zr6jZ4Qym39Wb9a9EI1g/65601/a_and_nwed1300.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/D_zr6jZ4Qym39Wb9a9EI1g/65601/a_and_nwed1300.jpg	(from https://amandaseasholtz.com/weddings)
13:38:19	797186/797186	---M--	200	added ('OK')	image/jpeg	etag:ffddc33ed61bebf7c6f199cce4bdbf18	http://static.showit.co/1600/dA7RGMAASWecgtUZinbayw/65601/a_and_nwed1383.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/dA7RGMAASWecgtUZinbayw/65601/a_and_nwed1383.jpg	(from https://amandaseasholtz.com/weddings)
13:39:23	714200/714200	---M--	200	added ('OK')	image/jpeg	etag:3ee83866752d2ddac7d54d136046653b	http://static.showit.co/1600/VwxTa72iSN2X4wGE9yPapw/65601/a_and_nwed1105.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/VwxTa72iSN2X4wGE9yPapw/65601/a_and_nwed1105.jpg	(from https://amandaseasholtz.com/weddings)
